Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   48    0 0xffffff8001feb000 0xa7ffa    0xa7ffa    com.apple.iokit.EndpointSecurity (1) 45350761-D30F-3DFF-B908-DAD7CBF0E1FF <47 27 9 8 7 6 3 2 1>
   49   11 0xffffff80028ca000 0x2ff8     0x2ff8     com.apple.iokit.IOReportFamily (47) 20EEB3ED-6CA5-30ED-B214-C69C5EAFF776 <8 7 6 3>
   50    2 0xffffff800247a000 0x37000    0x37000    com.apple.iokit.IOBluetoothFamily (9.0.0) 79452B4C-CBBF-37E1-8065-2649F844287F <49 38 17 9 8 7 6 3 1>
   51    0 0xffffff8002503000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) A163F0C8-DC7B-3002-967F-4BB81B6331C8 <29 9 8 7 6 3 1>
   52    0 0xffffff80025ec000 0xfff      0xfff      com.apple.iokit.IOKitRegistryCompatibility (1) 09C98BCE-6440-33FD-B698-000E42330B3F <6 3>
   53   14 0xffffff8002623000 0x15ff4    0x15ff4    com.apple.iokit.IONetworkingFamily (3.4) 5D3F11B8-802B-3860-8A36-E9334980A117 <9 8 7 6 3 1>
   54    2 0xffffff800287e000 0x5000     0x5000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 3D14DD05-A830-39B3-8B82-867C157682C9 <53 8 6 3 1>
   55    8 0xffffff8002972000 0x33ff8    0x33ff8    com.apple.iokit.IOSkywalkFamily (1.0) 50C44C84-1166-387F-8ECE-02E931E2405B <54 53 9 8 7 6 3 1>
   56    3 0xffffff8002bc3000 0x32ff8    0x32ff8    com.apple.iokit.IOTimeSyncFamily (1340.12) BDFA06DD-4330-3CA1-9CFC-EA4F209A444D <55 53 8 7 6 3 1>
   57    0 0xffffff80013f8000 0x7ffc     0x7ffc     com.apple.nke.applicationfirewall (406) CEA0F927-1488-3A2F-840A-161D38C7B2FA <9 8 7 6 3 1>
   58    0 0xffffff8001c6d000 0xefff     0xefff     com.apple.AppleSystemPolicy (2.0.0) CBCA901C-FC92-3B7F-9EBC-F0CABC2863BF <47 46 27 9 8 7 6 3 2 1>
   59    0 0xffffff80014bf000 0x2000     0x2000     com.apple.driver.AppleAPIC (1.7) 5FA287BC-EF29-3D1E-8C18-B11673192517 <18 6 3>
   60   13 0xffffff800254e000 0x65000    0x65000    com.apple.iokit.IOHIDFamily (2.0.0) 96A69960-0E11-3582-A6D3-4C4A14FB2E6E <49 9 8 7 6 3 2 1>
   61    3 0xffffff8002960000 0x1ffe     0x1ffe     com.apple.iokit.IOSMBusFamily (1.1) DE4AF007-618B-3947-9759-F5EAFCD92C89 <7 6 3>
   62    0 0xffffff800148f000 0x6000     0x6000     com.apple.driver.AppleACPIEC (6.1) A1A8CE7C-0CC2-356C-B979-29177872C629 <61 60 49 20 17 9 8 7 6 3 1>
   63    0 0xffffff8001bc5000 0x2ffe     0x2ffe     com.apple.driver.AppleSMBIOS (2.1) A9F8C0A5-7E6A-3CD4-A871-CD4D7FFB8C42 <9 6 3>
   64    0 0xffffff8001be9000 0x3ff4     0x3ff4     com.apple.driver.AppleSMCRTC (1.0) 500D752F-0D29-33F7-AAEA-0C1E6AA673BB <19 17 9 7 6 3 1>
   65    1 0xffffff80018cf000 0x2000     0x2000     com.apple.driver.AppleEFIRuntime (2.1) D48AC79B-5BF3-3762-B6C8-BF0364A7205D <23 9 8 7 6 3>
   66    0 0xffffff8001488000 0x2ffa     0x2ffa     com.apple.driver.AppleACPIButtons (6.1) 14EBF02D-69A0-38CB-BD51-D3D4C6B7C238 <60 49 20 17 9 8 7 6 3 1>
   67    1 0xffffff80018d3000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) 26DB1712-8686-36CA-A31C-C102DFD05079 <65 9 8 7 6 3 1>
   68   14 0xffffff80031b5000 0x22ff5    0x22ff5    com.apple.driver.corecapture (1.0.4) A42B924E-A282-3EBD-9540-3A53511696F4 <9 8 7 6 3 1>
   69    1 0xffffff8001b19000 0x9000     0x9000     com.apple.driver.AppleMultiFunctionManagerMac (1) 30BD89E7-4F1E-30C3-B888-6E532734F794 <68 18 9 8 7 6 3 1>
   70    0 0xffffff8001bfb000 0x1dff4    0x1dff4    com.apple.driver.AppleSmartBatteryManager (161.0.0) 26C0AC74-4A8F-336F-8136-300917A712DB <61 19 17 8 7 6 3 1>
   71    6 0xffffff8002964000 0x7000     0x7000     com.apple.iokit.IOSerialFamily (11) AF253393-D2D0-38B0-8425-8BD946DF3701 <9 8 7 6 3 1>
   72    2 0xffffff8001b42000 0x14000    0x14000    com.apple.driver.AppleOLYHALMac (1) 609376D3-BD0C-3023-A6BF-B5D37EC63EC6 <71 68 18 9 8 7 6 3 1>
   73    7 0xffffff80025d5000 0x11fff    0x11fff    com.apple.driver.IOImageLoader (1.0.0) DD08EA13-8A0D-3E3B-A621-4915A9A01EC5 <68 10 9 8 7 6 3 1>
   74    2 0xffffff8002110000 0x2aaff8   0x2aaff8   com.apple.iokit.IO80211Family (1200.13.1) AE748B35-FD4C-3B11-92F1-8FAB68C4BA24 <68 55 53 27 23 10 9 8 7 6 3 1>
   75    1 0xffffff800154a000 0x220fff   0x220fff   com.apple.driver.AppleBCMWLANCoreMac (1.0.0) 031CC225-30C8-3718-9A92-27276E833D5E <74 73 72 71 68 56 55 54 53 27 23 18 10 9 8 7 6 3 1>
   76    0 0xffffff80014cf000 0x6dffd    0x6dffd    com.apple.driver.AppleBCMWLANBusInterfacePCIeMac (1) B1283C94-3CF1-3B6A-B9E9-F587FEF7A86F <75 74 73 72 68 55 53 23 18 9 8 7 6 3 1>
   77    1 0xffffff8002ddb000 0x3bff8    0x3bff8    com.apple.driver.usb.AppleUSBXHCI (1.2) ED595D1F-C305-352F-B390-E690F0C35990 <38 36 17 9 8 7 6 3 1>
   78    0 0xffffff8002e22000 0x22ff5    0x22ff5    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 02DBFF8C-430F-34E8-AA00-57754E686BD0 <77 38 36 18 17 9 8 7 6 3 1>
   79    0 0xffffff80019b2000 0x7000     0x7000     com.apple.driver.AppleIntelLpssGspi (3.0.60) 6900148F-103C-3638-B8A6-E55D9A02C85B <18 17 9 7 6 3>
   80    1 0xffffff80019bb000 0x6ff4     0x6ff4     com.apple.driver.AppleIntelLpssI2C (3.0.60) 948E076F-8B19-3937-812C-140E1F8C6E39 <18 17 9 7 6 3>
   81    0 0xffffff8002eb0000 0x1000     0x1000     com.apple.private.KextAudit (1.0) 57F58D23-D103-3176-AA7D-F82CCEC9EC1E <19 9 8 7 6 3>
   82    0 0xffffff8002c0c000 0x62ff5    0x62ff5    com.apple.iokit.IOUSBFamily (900.4.2) 60BBF01D-05EB-39A7-95F8-932991F61681 <38 36 18 9 7 6 3 1>
   83    0 0xffffff8002d8d000 0x2ff5     0x2ff5     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) B426A690-D82E-300E-924D-39103A5D01CE <38 36 9 8 7 6 3 1>
   84    0 0xffffff80017a1000 0x8ffe     0x8ffe     com.apple.driver.AppleBluetoothModule (1) 52041995-26F2-3C0C-B384-55F2239477BE <69 68 9 8 7 6 3 1>
   85    2 0xffffff800179e000 0xfff      0xfff      com.apple.driver.AppleBluetoothDebugService (1) 0B5F9155-CEBC-3DB5-9F25-BF5A9F7A102C <7 6 3 1>
   86    0 0xffffff8001792000 0x8ffe     0x8ffe     com.apple.driver.AppleBluetoothDebug (1) CB3940A5-BC60-3966-AD98-716B6C07E7CB <85 68 8 7 6 3 1>
   87    1 0xffffff80017fb000 0x2bff8    0x2bff8    com.apple.driver.AppleConvergedPCI (1) 18EC7438-BB6A-3688-A5DA-89A70BA20F57 <68 18 8 7 6 3 1>
   88    0 0xffffff80017bf000 0x31ff8    0x31ff8    com.apple.driver.AppleConvergedIPCOLYBTControl (1) 8E5EDE1B-10F5-3514-ADC9-1DD7EC9B1FDB <87 85 55 8 7 6 3 1>
   89    6 0xffffff80024d9000 0x7000     0x7000     com.apple.iokit.IOBufferCopyEngineFamily (1) 7BBE7C5E-A89D-3995-8C0B-EAE4B37624F3 <7 6 3 1>
   90    0 0xffffff80024d3000 0x3000     0x3000     com.apple.iokit.IOBufferCopyController (1.1.0) 013D5788-FD38-3377-A64C-EC123431BF33 <89 18 9 8 7 6 3 1>
   91    0 0xffffff80025ef000 0x2c000    0x2c000    com.apple.iokit.IONVMeFamily (2.1.0) ED9747E9-A0FD-3664-B354-2DF56290CA5F <49 29 27 18 9 8 7 6 3 1>
   92    0 0xffffff80018e1000 0x5000     0x5000     com.apple.driver.AppleEffaceableNOR (1.0) EBFC32A0-49C9-3C8E-B708-1A2EAF80627F <89 40 31 9 7 6 3 1>
   93    3 0xffffff8001def000 0x4ff3     0x4ff3     com.apple.driver.usb.AppleUSBVHCICommon (1.0) A85397DA-2CB5-3645-BAAB-EBFE0B3C80A5 <38 36 9 7 6 3 1>
   94    1 0xffffff8002dbc000 0x14ff1    0x14ff1    com.apple.driver.usb.AppleUSBVHCI (1.2) 56AEB0BC-099A-3149-B3E2-A5BA944C8706 <93 38 36 9 8 7 6 3 1>
   95    1 0xffffff8001df6000 0x6ff4     0x6ff4     com.apple.driver.usb.AppleUSBVHCICommonBCE (1.0) 5AF652AE-887C-3DEC-9D6E-AF5DFFB23ED5 <93 89 36 9 7 6 3 1>
   96    0 0xffffff8002dd7000 0x1ffc     0x1ffc     com.apple.driver.usb.AppleUSBVHCIBCE (1.2) 9207B4A4-118F-3439-B532-878344C1078C <95 94 93 89 38 36 17 9 8 7 6 3 1>
   97    9 0xffffff8002a24000 0x16b000   0x16b000   com.apple.iokit.IOThunderboltFamily (9.3.3) E6399D11-98ED-3521-9F34-E8580017B45D <19 7 6 3 1>
   98    0 0xffffff8001d46000 0x44ff7    0x44ff7    com.apple.driver.AppleThunderboltNHI (7.2.81) D9F17222-F104-36B4-B5EB-6B6DEF5CBE39 <97 18 17 8 7 6 3 1>
   99    0 0xffffff8001909000 0x1fff     0x1fff     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) B02B457F-7ABA-33BA-B99E-6D79CCE0E611 <9 8 6 3 2 1>
  100    0 0xffffff800190d000 0x10feb    0x10feb    com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) B5FB444D-81F3-3444-8CD5-C9BBB7357AB2 <8 6 3 2 1>
  101    0 0xffffff8001c64000 0x4ff9     0x4ff9     com.apple.driver.AppleSyntheticGameController (12.6.1) 10475F9D-AE32-3DEE-AC07-36B60439638B <60 8 6 3>
  102    0 0xffffff8001edf000 0xcff4     0xcff4     com.apple.BootCache (40) B6F63457-6693-3C29-9F40-CB7D67520277 <9 8 7 6 3 1>
  103    1 0xffffff800210c000 0x1ff9     0x1ff9     com.apple.filesystems.hfs.encodings.kext (1) 527E147C-2E49-358A-8D6E-F9647C633CEE <9 8 7 6 3 1>
  104    0 0xffffff80020a7000 0x5eff6    0x5eff6    com.apple.filesystems.hfs.kext (683.120.3) 81738413-C52D-3DC7-B2D9-2330568B6320 <103 9 8 7 6 3 1>
  105    0 0xffffff8001e77000 0x3000     0x3000     com.apple.driver.AppleXsanScheme (3) B01219FF-FBAC-323D-84F5-D7933DA7246F <29 7 6 3 1>
  106    2 0xffffff80029f1000 0x29ffc    0x29ffc    com.apple.iokit.IOSurface (372.5.2) 3B97979A-0B05-3221-9AA1-256C7C2878B0 <9 8 7 6 3 1>
  107    1 0xffffff8002fd7000 0x1c7ff0   0x1c7ff0   com.apple.filesystems.apfs (2332.140.13) 200F6D85-1471-3795-B147-D2E31BC48D3C <67 31 29 26 23 10 9 8 7 6 3 2 1>
  108    0 0xffffff8003275000 0x1fffc    0x1fffc    com.apple.filesystems.lifs (1) EFA6EDA2-7870-32F3-8941-AE11B5D6A1E7 <9 8 7 6 3 1>
  109    0 0xffffff800178f000 0x1000     0x1000     com.apple.driver.AppleBSDKextStarter (3) AF06AB22-8805-353B-AB31-5A5F9371F6AD <6 3>
